   MainThread:14:45:39.903 scanner.py                                109 DEBUG    | Received 09:F6:42:95:1B:77: .
   MainThread:14:45:40.251 scanner.py                                109 DEBUG    | Received 7B:92:6E:D9:DA:A7: .
   MainThread:14:45:40.266 scanner.py                                109 DEBUG    | Received DC:B7:13:BE:A5:8C: .
   MainThread:14:45:40.314 scanner.py                                215 DEBUG    | 9 devices found. Watcher status: <BluetoothLEAdvertisementWatcherStatus.STOPPED: 3>.
   MainThread:14:45:40.314 client.py                                  85 WARNING  | Failed to find a device in 10 seconds. Retrying #1
   MainThread:14:45:40.314 bleak_wrapper.py                          120 INFO     | Scanning for GoPro [A-Z0-9]{4} bluetooth devices...
   MainThread:14:45:40.638 scanner.py                                109 DEBUG    | Received 09:F6:42:95:1B:77: .
   MainThread:14:45:41.002 scanner.py                                109 DEBUG    | Received 7B:92:6E:D9:DA:A7: .
   MainThread:14:45:41.355 scanner.py                                109 DEBUG    | Received 09:F6:42:95:1B:77: .
   MainThread:14:45:41.452 scanner.py                                109 DEBUG    | Received 09:F6:42:95:1B:77: .
   MainThread:14:45:42.054 scanner.py                                109 DEBUG    | Received 7B:92:6E:D9:DA:A7: .
   MainThread:14:45:42.171 scanner.py                                109 DEBUG    | Received DC:B7:13:BE:A5:8C: .
   MainThread:14:45:42.410 scanner.py                                109 DEBUG    | Received 09:F6:42:95:1B:77: .
   MainThread:14:45:42.531 scanner.py                                109 DEBUG    | Received 76:B2:70:D7:BB:BB: .
   MainThread:14:45:42.531 scanner.py                                109 DEBUG    | Received 76:B2:70:D7:BB:BB: LE-Acrux.
   MainThread:14:45:42.886 scanner.py                                109 DEBUG    | Received 7B:92:6E:D9:DA:A7: .
   MainThread:14:45:43.239 scanner.py                                109 DEBUG    | Received 09:F6:42:95:1B:77: .
   MainThread:14:45:43.352 scanner.py                                109 DEBUG    | Received 09:F6:42:95:1B:77: .
   MainThread:14:45:43.709 scanner.py                                109 DEBUG    | Received 7B:92:6E:D9:DA:A7: .
   MainThread:14:45:44.304 scanner.py                                109 DEBUG    | Received 09:F6:42:95:1B:77: .
   MainThread:14:45:44.414 scanner.py                                109 DEBUG    | Received 09:F6:42:95:1B:77: .
   MainThread:14:45:44.769 scanner.py                                109 DEBUG    | Received 76:B2:70:D7:BB:BB: .
   MainThread:14:45:44.769 scanner.py                                109 DEBUG    | Received 76:B2:70:D7:BB:BB: LE-Acrux.
   MainThread:14:45:45.131 scanner.py                                109 DEBUG    | Received 67:36:11:B6:40:41: .
   MainThread:14:45:45.253 scanner.py                                109 DEBUG    | Received 76:B2:70:D7:BB:BB: .
   MainThread:14:45:45.253 scanner.py                                109 DEBUG    | Received 76:B2:70:D7:BB:BB: LE-Acrux.
   MainThread:14:45:45.603 scanner.py                                109 DEBUG    | Received 7B:92:6E:D9:DA:A7: .
   MainThread:14:45:46.075 scanner.py                                109 DEBUG    | Received 09:F6:42:95:1B:77: .
   MainThread:14:45:46.174 scanner.py                                109 DEBUG    | Received 09:F6:42:95:1B:77: .
   MainThread:14:45:46.190 scanner.py                                109 DEBUG    | Received 5C:12:64:76:86:3C: .
   MainThread:14:45:46.190 scanner.py                                109 DEBUG    | Received 5C:12:64:76:86:3C: .
   MainThread:14:45:46.538 scanner.py                                109 DEBUG    | Received 4A:52:25:5B:75:87: .
   MainThread:14:45:46.538 scanner.py                                109 DEBUG    | Received 7B:92:6E:D9:DA:A7: .
   MainThread:14:45:46.905 scanner.py                                109 DEBUG    | Received 09:F6:42:95:1B:77: .
   MainThread:14:45:46.905 scanner.py                                109 DEBUG    | Received 70:80:46:4E:B9:D1: .
   MainThread:14:45:47.015 scanner.py                                109 DEBUG    | Received 76:B2:70:D7:BB:BB: .
   MainThread:14:45:47.015 scanner.py                                109 DEBUG    | Received 76:B2:70:D7:BB:BB: LE-Acrux.
   MainThread:14:45:47.492 scanner.py                                109 DEBUG    | Received 76:B2:70:D7:BB:BB: .
   MainThread:14:45:47.492 scanner.py                                109 DEBUG    | Received 76:B2:70:D7:BB:BB: LE-Acrux.
   MainThread:14:45:47.609 scanner.py                                109 DEBUG    | Received 67:36:11:B6:40:41: .
   MainThread:14:45:47.851 scanner.py                                109 DEBUG    | Received 09:F6:42:95:1B:77: .
   MainThread:14:45:47.943 scanner.py                                109 DEBUG    | Received 09:F6:42:95:1B:77: .
   MainThread:14:45:47.960 scanner.py                                109 DEBUG    | Received 76:B2:70:D7:BB:BB: .
   MainThread:14:45:47.960 scanner.py                                109 DEBUG    | Received 76:B2:70:D7:BB:BB: LE-Acrux.
   MainThread:14:45:48.416 scanner.py                                109 DEBUG    | Received 7B:92:6E:D9:DA:A7: .
   MainThread:14:45:48.670 scanner.py                                109 DEBUG    | Received 09:F6:42:95:1B:77: .
   MainThread:14:45:49.246 scanner.py                                109 DEBUG    | Received 76:B2:70:D7:BB:BB: .
   MainThread:14:45:49.261 scanner.py                                109 DEBUG    | Received 76:B2:70:D7:BB:BB: LE-Acrux.
   MainThread:14:45:49.263 scanner.py                                109 DEBUG    | Received 7B:92:6E:D9:DA:A7: .
   MainThread:14:45:49.613 scanner.py                                109 DEBUG    | Received 09:F6:42:95:1B:77: .
   MainThread:14:45:49.736 scanner.py                                109 DEBUG    | Received 76:B2:70:D7:BB:BB: .
   MainThread:14:45:49.736 scanner.py                                109 DEBUG    | Received 76:B2:70:D7:BB:BB: LE-Acrux.
   MainThread:14:45:49.863 scanner.py                                109 DEBUG    | Received 23:01:01:04:A3:09: .
   MainThread:14:45:49.863 scanner.py                                109 DEBUG    | Received 23:01:01:04:A3:09: KS03~04A309.
   MainThread:14:45:50.078 scanner.py                                109 DEBUG    | Received 67:36:11:B6:40:41: .
   MainThread:14:45:50.094 scanner.py                                109 DEBUG    | Received 67:36:11:B6:40:41: .
   MainThread:14:45:50.210 scanner.py                                109 DEBUG    | Received 7B:92:6E:D9:DA:A7: .
   MainThread:14:45:50.326 scanner.py                                215 DEBUG    | 9 devices found. Watcher status: <BluetoothLEAdvertisementWatcherStatus.STOPPED: 3>.
   MainThread:14:45:50.326 client.py                                  85 WARNING  | Failed to find a device in 10 seconds. Retrying #2
   MainThread:14:45:50.326 bleak_wrapper.py                          120 INFO     | Scanning for GoPro [A-Z0-9]{4} bluetooth devices...
   MainThread:14:45:50.462 scanner.py                                109 DEBUG    | Received 23:01:01:04:A3:09: .
   MainThread:14:45:50.462 scanner.py                                109 DEBUG    | Received 23:01:01:04:A3:09: KS03~04A309.
   MainThread:14:45:50.709 scanner.py                                109 DEBUG    | Received 76:B2:70:D7:BB:BB: .
   MainThread:14:45:50.711 scanner.py                                109 DEBUG    | Received 76:B2:70:D7:BB:BB: LE-Acrux.
   MainThread:14:45:50.825 scanner.py                                109 DEBUG    | Received 7B:92:6E:D9:DA:A7: .
   MainThread:14:45:51.182 scanner.py                                109 DEBUG    | Received 09:F6:42:95:1B:77: .
   MainThread:14:45:51.182 scanner.py                                109 DEBUG    | Received 70:80:46:4E:B9:D1: .
   MainThread:14:45:51.763 scanner.py                                109 DEBUG    | Received 7B:92:6E:D9:DA:A7: .
   MainThread:14:45:52.002 scanner.py                                109 DEBUG    | Received 09:F6:42:95:1B:77: .
   MainThread:14:45:52.112 scanner.py                                109 DEBUG    | Received 09:F6:42:95:1B:77: .
   MainThread:14:45:52.472 scanner.py                                109 DEBUG    | Received 76:B2:70:D7:BB:BB: .
   MainThread:14:45:52.472 scanner.py                                109 DEBUG    | Received 76:B2:70:D7:BB:BB: LE-Acrux.
   MainThread:14:45:52.594 scanner.py                                109 DEBUG    | Received 67:36:11:B6:40:41: .
   MainThread:14:45:52.594 scanner.py                                109 DEBUG    | Received 67:36:11:B6:40:41: .
   MainThread:14:45:52.594 scanner.py                                109 DEBUG    | Received 4A:52:25:5B:75:87: .
   MainThread:14:45:52.594 scanner.py                                109 DEBUG    | Received 4A:52:25:5B:75:87: .
   MainThread:14:45:52.704 scanner.py                                109 DEBUG    | Received 7B:92:6E:D9:DA:A7: .
   MainThread:14:45:52.947 scanner.py                                109 DEBUG    | Received 09:F6:42:95:1B:77: .
   MainThread:14:45:52.947 scanner.py                                109 DEBUG    | Received 76:B2:70:D7:BB:BB: .
   MainThread:14:45:52.947 scanner.py                                109 DEBUG    | Received 76:B2:70:D7:BB:BB: LE-Acrux.
   MainThread:14:45:53.292 scanner.py                                109 DEBUG    | Received 23:01:01:04:A3:09: .
   MainThread:14:45:53.308 scanner.py                                109 DEBUG    | Received 23:01:01:04:A3:09: KS03~04A309.
   MainThread:14:45:53.755 scanner.py                                109 DEBUG    | Received 7B:92:6E:D9:DA:A7: .
   MainThread:14:45:53.893 scanner.py                                109 DEBUG    | Received 09:F6:42:95:1B:77: .
   MainThread:14:45:54.715 scanner.py                                109 DEBUG    | Received 09:F6:42:95:1B:77: .
   MainThread:14:45:54.719 scanner.py                                109 DEBUG    | Received 7B:92:6E:D9:DA:A7: .
   MainThread:14:45:54.719 scanner.py                                109 DEBUG    | Received 70:80:46:4E:B9:D1: .
   MainThread:14:45:55.066 scanner.py                                109 DEBUG    | Received 4A:52:25:5B:75:87: .
   MainThread:14:45:55.066 scanner.py                                109 DEBUG    | Received 4A:52:25:5B:75:87: .
   MainThread:14:45:55.548 scanner.py                                109 DEBUG    | Received 7B:92:6E:D9:DA:A7: .
   MainThread:14:45:55.664 scanner.py                                109 DEBUG    | Received 09:F6:42:95:1B:77: .
   MainThread:14:45:56.142 scanner.py                                109 DEBUG    | Received 23:01:01:04:A3:09: .
   MainThread:14:45:56.142 scanner.py                                109 DEBUG    | Received 23:01:01:04:A3:09: KS03~04A309.
   MainThread:14:45:56.262 scanner.py                                109 DEBUG    | Received DC:B7:13:BE:A5:8C: .
   MainThread:14:45:56.474 scanner.py                                109 DEBUG    | Received 7B:92:6E:D9:DA:A7: .
   MainThread:14:45:56.726 scanner.py                                109 DEBUG    | Received 09:F6:42:95:1B:77: .
   MainThread:14:45:56.738 scanner.py                                109 DEBUG    | Received DC:B7:13:BE:A5:8C: .
   MainThread:14:45:56.968 scanner.py                                109 DEBUG    | Received 76:B2:70:D7:BB:BB: .
   MainThread:14:45:56.968 scanner.py                                109 DEBUG    | Received 76:B2:70:D7:BB:BB: LE-Acrux.
   MainThread:14:45:57.322 scanner.py                                109 DEBUG    | Received 7B:92:6E:D9:DA:A7: .
   MainThread:14:45:57.551 scanner.py                                109 DEBUG    | Received 09:F6:42:95:1B:77: .
   MainThread:14:45:57.558 scanner.py                                109 DEBUG    | Received 4A:52:25:5B:75:87: .
   MainThread:14:45:58.272 scanner.py                                109 DEBUG    | Received 70:80:46:4E:B9:D1: .
   MainThread:14:45:58.383 scanner.py                                109 DEBUG    | Received 09:F6:42:95:1B:77: .
   MainThread:14:45:58.482 scanner.py                                109 DEBUG    | Received 09:F6:42:95:1B:77: .
   MainThread:14:45:58.623 scanner.py                                109 DEBUG    | Received 67:36:11:B6:40:41: .
   MainThread:14:45:58.623 scanner.py                                109 DEBUG    | Received 67:36:11:B6:40:41: .
   MainThread:14:45:58.969 scanner.py                                109 DEBUG    | Received 23:01:01:04:A3:09: .
   MainThread:14:45:58.969 scanner.py                                109 DEBUG    | Received 23:01:01:04:A3:09: KS03~04A309.
   MainThread:14:45:59.201 scanner.py                                109 DEBUG    | Received 7B:92:6E:D9:DA:A7: .
   MainThread:14:45:59.201 scanner.py                                109 DEBUG    | Received 76:B2:70:D7:BB:BB: .
   MainThread:14:45:59.201 scanner.py                                109 DEBUG    | Received 76:B2:70:D7:BB:BB: LE-Acrux.
   MainThread:14:45:59.324 scanner.py                                109 DEBUG    | Received 09:F6:42:95:1B:77: .
